"table_schema","table_name","row_count","content_md5"
miclub,activity_icon_catalog,20,"078ff119b7f2b089364baeb9ee251d78"
miclub,category_catalog,33,f5cdbd1eb040f2a9926cb91e480f2468
miclub,currencies,4,effc59a3eaba95b8b03adcf63b6367e8
miclub,plan_entitlements,1,"124525b00d8de949d8654d0d64e5fa6f"
miclub,plans,5,"4d014f5dfe8259bc121f2772f1ca9470"
miclub,system_months,12,"2195c0e56718f798e02b9cae2bb1152f"
